"Make","Model","Variant","Price","Displacement","Cylinders","Drivetrain","Fuel_System","Fuel_Tank_Capacity","Fuel_Type","Height","Length","Width","Doors","City_Mileage","ARAI_Certified_Mileage","Power","Torque","Type","Wheelbase"
"Premier","Rio","Ex","568,623","1489","4","FWD (Front Wheel Drive)","Injection","46","Diesel","1730","3970","1570","5","12","16","64","152","Manual","2420"
"Premier","Rio","Glx","670,000","1173","4","FWD (Front Wheel Drive)","Injection","46","Petrol","1730","3970","1570","5","13","16","76.6","103.9","Manual","2420"
"Premier","Rio","Dx","603,000","1489","4","FWD (Front Wheel Drive)","Injection","46","Diesel","1730","3970","1570","5","12","16","64","152","Manual","2420"
"Premier","Rio","Lx","739,000","1489","4","FWD (Front Wheel Drive)","Injection","46","Diesel","1730","3970","1570","5","12","16","64","152","Manual","2420"
"Premier","Rio","Crdi4","739,000","1248","4","FWD (Front Wheel Drive)","Injection","46","Diesel","1730","3970","1570","5","20","23.7","72","183","Manual","2420"
"Toyota","Etios Liva","G","520,300","1197","4","FWD (Front Wheel Drive)","Injection","45","Petrol","1510","3884","1695","5","15.1","18.16","80","104","Manual","2460"
"Toyota","Etios Liva","V","581,000","1197","4","FWD (Front Wheel Drive)","Injection","45","Petrol","1510","3884","1695","5","15.1","18.16","80","104","Manual","2460"
"Toyota","Etios Liva","Gd","647,800","1364","4","FWD (Front Wheel Drive)","Injection","45","Diesel","1510","3884","1695","5","20.3","23.59","68","170","Manual","2460"
"Toyota","Etios Liva","Vx","630,000","1197","4","FWD (Front Wheel Drive)","Injection","45","Petrol","1510","3884","1695","5","15.1","18.16","80","104","Manual","2460"
"Toyota","Etios Liva","Vxd","745,000","1364","4","FWD (Front Wheel Drive)","Injection","45","Diesel","1510","3884","1695","5","20.3","23.59","68","170","Manual","2460"
"Toyota","Etios Liva","Vd","704,000","1364","4","FWD (Front Wheel Drive)","Injection","45","Diesel","1510","3884","1695","5","20.3","23.59","68","170","Manual","2460"
"Toyota","Etios Liva","Dual Tone V","597,700","1197","4","FWD (Front Wheel Drive)","Injection","45","Petrol","1510","3884","1695","5","15.1","18.16","80","104","Manual","2460"
"Toyota","Etios Liva","Dual Tone Vd","720,700","1364","4","FWD (Front Wheel Drive)","Injection","45","Diesel","1510","3884","1695","5","20.3","23.59","68","170","Manual","2460"
"Toyota","Etios Liva","Dual Tone Vx","641,700","1197","4","FWD (Front Wheel Drive)","Injection","45","Petrol","1510","3884","1695","5","15.1","18.16","80","104","Manual","2460"
"Toyota","Etios Liva","Dual Tone Vxd","756,700","1364","4","FWD (Front Wheel Drive)","Injection","45","Diesel","1510","3884","1695","5","20.3","23.59","68","170","Manual","2460"
"Toyota","Etios Liva","Gx","558,400","1197","4","FWD (Front Wheel Drive)","Injection","45","Petrol","1510","3884","1695","5","15.1","18.16","80","104","Manual","2460"
"Toyota","Etios Liva","Gxd","686,000","1364","4","FWD (Front Wheel Drive)","Injection","45","Diesel","1510","3884","1695","5","20.3","23.59","68","170","Manual","2460"
"Toyota","Etios Liva","Vx Dual Tone Limited Edition","662,700","1197","4","FWD (Front Wheel Drive)","Injection","45","Petrol","1510","3884","1695","5","15.1","18.16","80","104","Manual","2460"
"Toyota","Etios Liva","Vxd Dual Tone Limited Edition","777,700","1364","4","FWD (Front Wheel Drive)","Injection","45","Diesel","1510","3884","1695","5","20.3","23.59","68","170","Manual","2460"
"Nissan","Micra Active","Xl","525,021","1198","3","FWD (Front Wheel Drive)","Injection","41","Petrol","1530","3801","1665","5","","18.97","68","104","Manual","2450"
"Nissan","Micra Active","Xv","599,950","1198","3","FWD (Front Wheel Drive)","Injection","41","Petrol","1530","3801","1665","5","19.49","19.49","68","104","Manual","2450"
"Nissan","Micra Active","Xl (O)","563,133","1198","3","FWD (Front Wheel Drive)","Injection","41","Petrol","1530","3801","1665","5","","18.97","68","104","Manual","2450"
"Tata","Bolt","Xt Diesel","787,980","1248","4","FWD (Front Wheel Drive)","Injection","44","Diesel","1562","3825","1695","5","22.9","22.95","75","190","Manual","2470"
"Tata","Bolt","Xe Diesel","661,111","1248","4","FWD (Front Wheel Drive)","Injection","44","Diesel","1562","3825","1695","5","22.9","22.95","75","190","Manual","2470"
"Tata","Bolt","Xm Diesel","693,798","1248","4","FWD (Front Wheel Drive)","Injection","44","Diesel","1562","3825","1695","5","22.9","22.95","75","190","Manual","2470"
"Tata","Bolt","Xms Diesel","719,661","1248","4","FWD (Front Wheel Drive)","Injection","44","Diesel","1562","3825","1695","5","22.9","22.95","75","190","Manual","2470"
"Tata","Bolt","Xt Petrol","674,960","1193","4","FWD (Front Wheel Drive)","Injection","44","Petrol","1562","3825","1695","5","17.5","17.57","90","140","Manual","2470"
"Tata","Bolt","Xe Petrol","529,035","1193","4","FWD (Front Wheel Drive)","Injection","44","Petrol","1562","3825","1695","5","17.5","17.57","90","140","Manual","2470"
"Tata","Bolt","Xm Petrol","590,268","1193","4","FWD (Front Wheel Drive)","Injection","44","Petrol","1562","3825","1695","5","17.5","17.57","90","140","Manual","2470"
"Tata","Bolt","Xms Petrol","614,515","1193","4","FWD (Front Wheel Drive)","Injection","44","Petrol","1562","3825","1695","5","17.5","17.57","90","140","Manual","2470"
"Hyundai","Xcent Prime","Cng T + (Cng +","556,130","1197","4","FWD (Front Wheel Drive)","Injection","43","CNG ","1520","3995","1660","4","","","83","114","Manual","2425"
"Hyundai","Xcent Prime","T","536,859","1197","4","FWD (Front Wheel Drive)","Injection","43","Petrol","1520","3995","1660","4","","15.7","83","114","Manual","2425"
"Hyundai","Xcent Prime","T+","556,130","1197","4","FWD (Front Wheel Drive)","Injection","43","Petrol","1520","3995","1660","4","","","83","114","Manual","2425"
"Hyundai","Xcent Prime","Cng T (Cng +","536,859","1197","4","FWD (Front Wheel Drive)","Injection","43","CNG ","1520","3995","1660","4","","","81.8","114","Manual","2425"
"Hyundai","Xcent Prime","T+ Crdi","639,616","1197","4","FWD (Front Wheel Drive)","Injection","43","Diesel","1520","3995","1660","4","","20.14","70","114","Manual","2425"
"Hyundai","Xcent Prime","T Crdi","620,297","1197","4","FWD (Front Wheel Drive)","Injection","43","Diesel","1520","3995","1660","4","","20","71","114","Manual","2425"
"Maruti Suzuki","Dzire Tour","Ldi","653,523","1248","4","FWD (Front Wheel Drive)","Injection","42","Diesel","1555","3995","1695","4","14.6","28.4","75","190","Manual","2430"
"Maruti Suzuki","Dzire Tour","Lxi","553,423","1197","4","FWD (Front Wheel Drive)","Injection","42","Petrol","1555","3995","1695","4","16.3","22","83","115","Manual","2430"
"Maruti Suzuki","Dzire Tour","Lxi Cng","598,940","1197","4","FWD (Front Wheel Drive)","Injection","42","CNG","1555","3995","1695","4","","","69","115","Manual","2430"
"Hyundai","Elite I20","Era 1.2","559,693","1197","4","FWD (Front Wheel Drive)","Injection","45","Petrol","1505","3995","1710","5","13.3","18.6","84","115","Manual","2525"
"Hyundai","Elite I20","Era 1.4 Crdi","697,803","1396","4","FWD (Front Wheel Drive)","Injection","45","Diesel","1505","3985","1734","5","18.4","22.54","90","220","Manual","2570"
